Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Total Cooling Energy [J](TimeStep) 
 02/21  11:15:00,16.2,0.72567,18.28748400200855,11.905164205751224,25.0,0.0,15.6,25.0,0.0 
 02/21  11:30:00,16.2,0.72567,18.2733753025552,11.904618348176893,25.0,0.0,15.6,25.0,0.0 
 02/21  11:45:00,16.2,0.72567,18.260248477377844,11.903996487834535,25.0,0.0,15.6,25.0,0.0 
 02/21  12:00:00,16.2,0.72567,18.24734957857104,11.903311534282466,25.0,0.0,15.6,25.0,0.0 
 02/21  12:15:00,16.2,0.72567,18.234005995431958,11.902576263063825,25.0,0.0,15.6,25.0,0.0 
 02/21  12:30:00,16.2,0.72567,18.22109913392538,11.901827113381872,25.0,0.0,15.6,25.0,0.0 
 02/21  12:45:00,16.2,0.72567,18.209238453789579,11.901062342138987,25.0,0.0,15.6,25.0,0.0 
 02/21  13:00:00,16.2,0.72567,18.199648982255139,11.900271209437204,25.0,0.0,15.6,25.0,0.0 
 02/21  13:15:00,16.2,0.72567,18.19180044253443,11.89945995914501,25.0,0.0,15.6,25.0,0.0 
 02/21  13:30:00,16.2,0.72567,18.18388562329482,11.898641461309206,25.0,0.0,15.6,25.0,0.0 
 02/21  13:45:00,16.2,0.72567,18.175440379758027,11.897824738860452,25.0,0.0,15.6,25.0,0.0 
 02/21  14:00:00,16.2,0.72567,18.16685887599626,11.897014795688318,25.0,0.0,15.6,25.0,0.0 
 02/21  14:15:00,16.2,0.72567,18.160634269023814,11.896215522081816,25.0,0.0,15.6,25.0,0.0 
 02/21  14:30:00,16.2,0.72567,18.15535966288553,11.895430758137535,25.0,0.0,15.6,25.0,0.0 
 02/21  14:45:00,16.2,0.72567,18.150728095117974,11.894664066568226,25.0,0.0,15.6,25.0,0.0 
 02/21  15:00:00,16.2,0.72567,18.146355458024787,11.89391852911522,25.0,0.0,15.6,25.0,0.0 
 02/21  15:15:00,16.2,0.72567,18.150576398485453,11.893196704260842,25.0,0.0,15.6,25.0,0.0 
 02/21  15:30:00,16.2,0.72567,18.15768725331734,11.892547301969751,25.0,0.0,15.6,25.0,0.0 
 02/21  15:45:00,16.2,0.72567,18.162580631905656,11.891949234819027,25.0,0.0,15.6,25.0,0.0 
 02/21  16:00:00,16.2,0.72567,18.16458809000123,11.891366774916463,25.0,0.0,15.6,25.0,0.0 
