,LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Previous Temperature,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep)
0,25.0,23.0,25.325,1.125,0.0,3.0
1,25.0,23.894411561151284,25.25,1.05,0.0,3.0
2,24.0,24.247058100666962,25.175000000000008,0.975,0.0,3.0
3,24.0,23.85191863772239,25.1,0.9,0.0,3.0
4,25.0,23.690647150571426,25.050000000000008,0.8250000000000001,0.0,3.0
5,24.0,24.155723273884856,25.0,0.75,0.0,3.0
6,24.0,24.338535214034877,24.95,0.6749999999999999,0.0,3.0
7,24.0,23.876978663970416,24.9,0.6,0.0,3.0
8,25.0,23.690504530092394,24.825,0.5249999999999999,0.0,3.0
9,24.0,24.144270566675623,24.75,0.45,0.0,3.0
10,25.0,23.78942972815106,24.675000000000008,0.375,0.0,3.0
11,25.0,24.176097462308462,24.6,0.3,0.0,3.0
12,24.0,24.32639550940693,24.550000000000008,0.225,0.0,3.0
13,24.0,24.383760588794125,24.5,0.15,0.0,3.0
14,26.0,21.744693472315074,24.45,0.075,0.0,3.0
15,24.0,23.881702765865054,24.4,0.0,0.0,3.0
16,24.0,24.730821489935405,24.4,0.0,0.0,3.0
17,25.0,24.00545789258705,24.4,0.0,0.0,3.0
18,25.0,24.24826175224481,24.4,0.0,0.0,3.0
19,24.0,24.345025104830917,24.4,0.0,0.0,3.0
20,25.0,23.851708476531925,24.275,0.0,0.0,3.0
21,24.0,24.180657762844454,24.15,0.0,0.0,3.0
22,25.0,23.773541942066345,24.025,0.0,0.0,3.0
23,25.0,23.07308594298903,23.9,0.0,101.0,3.0
24,25.0,23.851364280218387,24.175,0.0,151.5,3.0
25,24.0,24.175455761236076,24.45,0.0,202.0,3.0
26,25.0,23.786663308120207,24.725,0.0,281.75,3.0
27,24.0,24.177527390824633,25.0,0.0,361.5,3.0
28,25.0,23.815345473510014,25.825,0.0,441.25,2.6493
29,24.0,24.244671083585086,26.65,0.0,521.0,2.6493
30,25.0,23.925673607343306,27.475,0.0,565.0,2.6493
31,24.0,24.37220928691091,28.3,0.0,609.0,2.6493
32,24.0,24.060070449673816,28.725,0.0,653.0,1.22583
33,24.0,23.957200922138583,29.15,0.0,697.0,1.22583
34,24.0,23.937730398345188,29.575,0.0,714.25,1.22583
35,24.0,23.951496443425853,30.0,0.0,731.5,1.22583
36,24.0,23.978508084508352,30.425,0.0,748.75,0.72567
37,24.0,24.01079842370522,30.85,0.0,766.0,0.72567
38,24.0,23.51331323362293,31.275,0.0,778.5,0.72567
39,24.0,23.868457814487343,31.7,0.0,791.0,0.72567
