,LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Previous Temperature,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep)
0,21.0,23.0,25.325,1.125,0.0,3.0
1,21.0,21.766894676204213,25.25,1.05,0.0,3.0
2,21.0,22.335431478662834,25.175000000000008,0.975,0.0,3.0
3,23.0,21.49445041209804,25.1,0.9,0.0,3.0
4,21.0,22.21925844440239,25.050000000000008,0.8250000000000001,0.0,3.0
5,23.0,21.441821541650214,25.0,0.75,0.0,3.0
6,22.0,22.193219705003937,24.95,0.6749999999999999,0.0,3.0
7,22.0,21.958258849377824,24.9,0.6,0.0,3.0
8,23.0,20.798330270278765,24.825,0.5249999999999999,0.0,3.0
9,22.0,21.927909039402397,24.75,0.45,0.0,3.0
10,22.0,21.84239631540271,24.675000000000008,0.375,0.0,3.0
11,21.0,22.336397974745054,24.6,0.3,0.0,3.0
12,23.0,21.46571280733284,24.550000000000008,0.225,0.0,3.0
13,21.0,21.64807000612306,24.5,0.15,0.0,3.0
14,23.0,21.186332230362282,24.45,0.075,0.0,3.0
15,21.0,22.06354431602866,24.4,0.0,0.0,3.0
16,23.0,21.34684420375341,24.4,0.0,0.0,3.0
17,21.0,22.124979898053407,24.4,0.0,0.0,3.0
18,23.0,21.37132780501565,24.4,0.0,0.0,3.0
19,23.0,21.602857998404755,24.4,0.0,0.0,3.0
20,21.0,21.695128515721976,24.275,0.0,0.0,3.0
21,22.0,22.257448785185353,24.15,0.0,0.0,3.0
22,22.0,21.411457860806088,24.025,0.0,0.0,3.0
23,22.0,21.59985770400938,23.9,0.0,101.0,3.0
24,22.0,21.136729448591513,24.175,0.0,151.5,3.0
25,23.0,21.497968872700902,24.45,0.0,202.0,3.0
26,23.0,21.123980795101538,24.725,0.0,281.75,3.0
27,22.0,22.584503230643115,25.0,0.0,361.5,3.0
28,20.0,22.11672744228405,25.825,0.0,441.25,2.6493
29,21.0,21.440212836600725,26.65,0.0,521.0,2.6493
30,21.0,21.21238986276566,27.475,0.0,565.0,2.6493
31,23.0,21.16338161879596,28.3,0.0,609.0,2.6493
32,20.0,21.18563547411059,28.725,0.0,653.0,1.22583
33,22.0,22.27978816029704,29.15,0.0,697.0,1.22583
34,22.0,21.6736021977246,29.575,0.0,714.25,1.22583
35,22.0,21.985426828116754,30.0,0.0,731.5,1.22583
36,22.0,22.131222198677296,30.425,0.0,748.75,0.72567
37,21.0,21.147092353998236,30.85,0.0,766.0,0.72567
38,21.0,21.840176206531627,31.275,0.0,778.5,0.72567
39,21.0,21.606033600079265,31.7,0.0,791.0,0.72567
40,22.0,21.002368281325413,31.975,0.775,803.5,0.72567
41,22.0,21.30760020444135,32.25,1.55,816.0,0.72567
42,21.0,21.975050192803653,32.525,2.325,795.5,0.72567
43,22.0,21.723094610223768,32.8,3.1,775.0,0.72567
44,22.0,21.636612354196323,32.925,2.85,754.5,0.72567
45,22.0,21.608478071475137,33.05,2.6,734.0,0.72567
46,21.0,21.603596901458488,33.175,2.35,735.0,0.72567
47,22.0,21.60798267285918,33.3,2.1,736.0,0.72567
48,21.0,22.14794077120355,33.575,2.475,737.0,0.72567
49,21.0,21.845176512340416,33.85,2.85,738.0,0.72567
50,21.0,21.206566518991824,34.125,3.225,730.25,0.72567
51,21.0,22.02975134490139,34.4,3.6,722.5,0.72567
52,21.0,22.90361839527688,34.55,3.35,714.75,0.72567
53,20.0,22.19571486528074,34.7,3.1,707.0,0.72567
54,22.0,21.38931579808644,34.85,2.85,703.25,0.72567
55,20.0,22.13930148318869,35.0,2.6,699.5,0.72567
56,22.0,21.38202816045664,35.0,2.725,695.75,0.72567
57,21.0,22.143994425347586,35.0,2.85,692.0,0.72567
58,21.0,21.383898414156178,35.0,2.975,615.5,0.72567
59,22.0,21.612860546538275,35.0,3.1,539.0,0.72567
60,21.0,22.235986849167343,35.15,3.1,462.5,0.72567
61,21.0,21.960036141313285,35.3,3.1,386.0,0.72567
62,21.0,21.857660194914896,35.45,3.1,419.0,0.72567
63,20.0,22.356337311826703,35.6,3.1,452.0,0.72567
64,22.0,21.498911299487503,35.30000000000001,3.75,485.0,0.8849400000000001
65,20.0,22.205769744126297,35.0,4.4,518.0,0.8849400000000001
66,22.0,21.408517408930518,34.7,5.050000000000002,549.5,0.8849400000000001
67,21.0,22.139356554477605,34.4,5.7,581.0,0.8849400000000001
68,21.0,21.883540343858275,34.0,5.300000000000002,612.5,1.6593
69,22.0,21.761331923678775,33.6,4.9,644.0,1.6593
70,21.0,22.22424873883484,33.2,4.5,583.75,1.6593
71,21.0,22.38847323321614,32.8,4.1,523.5,1.6593
72,21.0,22.43366143883897,32.6,3.975,463.25,2.6907900000000002
73,22.0,21.90966117520066,32.4,3.85,403.0,2.6907900000000002
74,22.0,21.15882520715183,32.2,3.725,302.25,2.6907900000000002
75,22.0,21.91322725564158,32.0,3.6,201.5,2.6907900000000002
