,LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Previous Temperature,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep)
0,22.0,23.0,25.325,1.125,0.0,3.0
1,25.0,22.29877389744098,25.25,1.05,0.0,3.0
2,24.0,21.483640081071947,25.175000000000008,0.975,0.0,3.0
3,25.0,21.6868696616067,25.1,0.9,0.0,3.0
4,24.0,23.35970072423668,25.050000000000008,0.8250000000000001,0.0,3.0
5,23.0,23.49195370385512,25.0,0.75,0.0,3.0
6,24.0,21.94648971314551,24.95,0.6749999999999999,0.0,3.0
7,24.0,22.923689278328773,24.9,0.6,0.0,3.0
8,25.0,21.183078210964766,24.825,0.5249999999999999,0.0,3.0
9,23.0,21.54936140314889,24.75,0.45,0.0,3.0
10,25.0,21.15965648408723,24.675000000000008,0.375,0.0,3.0
11,22.0,23.128067682240168,24.6,0.3,0.0,3.0
12,25.0,22.313092017515686,24.550000000000008,0.225,0.0,3.0
13,24.0,20.922013169400905,24.5,0.15,0.0,3.0
14,25.0,22.49261825943084,24.45,0.075,0.0,3.0
15,24.0,23.647890099194516,24.4,0.0,0.0,3.0
16,25.0,21.44636602305561,24.4,0.0,0.0,3.0
17,24.0,23.760279472018034,24.4,0.0,0.0,3.0
18,24.0,22.554914414604845,24.4,0.0,0.0,3.0
19,24.0,22.60642580227486,24.4,0.0,0.0,3.0
20,24.0,23.158833587490548,24.275,0.0,0.0,3.0
21,25.0,21.777013071358923,24.15,0.0,0.0,3.0
22,23.0,23.347509212884486,24.025,0.0,0.0,3.0
23,25.0,21.3076636834113,23.9,0.0,101.0,3.0
24,24.0,23.147799778370405,24.175,0.0,151.5,3.0
25,23.0,22.831309436727455,24.45,0.0,202.0,3.0
26,23.0,22.719108480618058,24.725,0.0,281.75,3.0
27,25.0,22.156442683874594,25.0,0.0,361.5,3.0
28,24.0,23.541772374587417,25.825,0.0,441.25,2.6493
29,24.0,22.540007763254522,26.65,0.0,521.0,2.6493
30,24.0,22.71444382661276,27.475,0.0,565.0,2.6493
31,24.0,21.230108109642853,28.3,0.0,609.0,2.6493
32,24.0,22.807865297310254,28.725,0.0,653.0,1.22583
33,24.0,21.86252848674432,29.15,0.0,697.0,1.22583
34,24.0,23.102951545553697,29.575,0.0,714.25,1.22583
35,23.0,22.023178728509016,30.0,0.0,731.5,1.22583
36,24.0,22.678146487375514,30.425,0.0,748.75,0.72567
37,22.0,21.896934452183526,30.85,0.0,766.0,0.72567
38,24.0,22.670886078289687,31.275,0.0,778.5,0.72567
39,25.0,21.405212840314174,31.7,0.0,791.0,0.72567
40,22.0,23.581732340196872,31.975,0.775,803.5,0.72567
41,22.0,23.39929911799434,32.25,1.55,816.0,0.72567
42,23.0,23.340523244720835,32.525,2.325,795.5,0.72567
43,23.0,23.33102788812095,32.8,3.1,775.0,0.72567
44,22.0,23.34117203814685,32.925,2.85,754.5,0.72567
45,23.0,23.351545771777822,33.05,2.6,734.0,0.72567
46,23.0,21.766373336452144,33.175,2.35,735.0,0.72567
47,25.0,21.140973893114577,33.3,2.1,736.0,0.72567
48,22.0,21.961826204166066,33.575,2.475,737.0,0.72567
49,24.0,22.302884468354947,33.85,2.85,738.0,0.72567
50,22.0,24.580249804802087,34.125,3.225,730.25,0.72567
51,23.0,23.374247704056675,34.4,3.6,722.5,0.72567
52,23.0,21.84379583530939,34.55,3.35,714.75,0.72567
53,23.0,22.837107764663678,34.7,3.1,707.0,0.72567
54,23.0,23.24056442019212,34.85,2.85,703.25,0.72567
55,24.0,22.345190695278507,35.0,2.6,699.5,0.72567
56,23.0,22.527838554044973,35.0,2.725,695.75,0.72567
57,21.0,24.196265913857424,35.0,2.85,692.0,0.72567
58,23.0,22.733658660533983,35.0,2.975,615.5,0.72567
59,23.0,22.682652660968174,35.0,3.1,539.0,0.72567
60,22.0,22.662325506667788,35.15,3.1,462.5,0.72567
61,23.0,22.661821878430615,35.3,3.1,386.0,0.72567
62,23.0,23.201097637616442,35.45,3.1,419.0,0.72567
63,24.0,22.359851189895434,35.6,3.1,452.0,0.72567
64,23.0,23.627828551887497,35.30000000000001,3.75,485.0,0.8849400000000001
65,23.0,23.58607522601225,35.0,4.4,518.0,0.8849400000000001
66,23.0,23.55424099882225,34.7,5.050000000000002,549.5,0.8849400000000001
67,23.0,23.526359778165055,34.4,5.7,581.0,0.8849400000000001
68,23.0,23.500053928531397,34.0,5.300000000000002,612.5,1.6593
69,24.0,21.873673408712627,33.6,4.9,644.0,1.6593
70,23.0,23.332778045913656,33.2,4.5,583.75,1.6593
71,23.0,23.362128842785825,32.8,4.1,523.5,1.6593
72,23.0,23.353566538984868,32.6,3.975,463.25,2.6907900000000002
73,24.0,22.808145365883306,32.4,3.85,403.0,2.6907900000000002
74,24.0,22.048772634794425,32.2,3.725,302.25,2.6907900000000002
75,23.0,22.26789335051116,32.0,3.6,201.5,2.6907900000000002
76,24.0,21.813209500640426,31.75,3.475,100.75,2.6907900000000002
77,23.0,23.214982310041428,31.5,3.35,0.0,2.6907900000000002
78,22.0,23.229082199641297,31.25,3.225,0.0,2.6907900000000002
79,24.0,22.158280835314418,31.0,3.1,0.0,2.6907900000000002
80,23.0,23.314515553311818,30.6,2.325,0.0,2.6907900000000002
81,22.0,23.223165184968018,30.2,1.55,0.0,2.6907900000000002
82,23.0,22.102742034457407,29.8,0.775,0.0,2.6907900000000002
83,22.0,22.699724773961876,29.4,0.0,0.0,2.6907900000000002
84,25.0,21.85361941767947,28.85,0.375,0.0,3.0
85,23.0,23.616085789526938,28.3,0.75,0.0,3.0
86,23.0,22.69497806350131,27.75,1.125,0.0,3.0
87,24.0,22.831916469406515,27.2,1.5,0.0,3.0
88,23.0,23.39051246782568,26.925,1.125,0.0,3.0
89,24.0,21.471681640430575,26.65,0.75,0.0,3.0
90,24.0,23.352447845555012,26.375000000000004,0.375,0.0,3.0
91,23.0,23.024293039582147,26.1,0.0,0.0,3.0
92,23.0,23.943345378287223,26.1,0.525,0.0,3.0
93,24.0,23.24585205870158,26.1,1.05,0.0,3.0
94,24.0,23.499762914424508,26.1,1.5750000000000002,0.0,3.0
95,24.0,23.600952680074812,26.1,2.1,0.0,3.0
