,LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Previous Temperature,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep)
0,25.0,23.0,25.325,1.125,0.0,3.0
1,25.0,22.83065311867775,25.25,1.05,0.0,3.0
2,25.0,23.291244789664898,25.175000000000008,0.975,0.0,3.0
3,24.0,22.407244914291834,25.1,0.9,0.0,3.0
4,24.0,23.646788106900736,25.050000000000008,0.8250000000000001,0.0,3.0
5,25.0,23.074485916072913,25.0,0.75,0.0,3.0
6,24.0,23.375756122298945,24.95,0.6749999999999999,0.0,3.0
7,24.0,23.49328734684107,24.9,0.6,0.0,3.0
8,22.0,23.53759403577016,24.825,0.5249999999999999,0.0,3.0
9,26.0,21.9558150619839,24.75,0.45,0.0,3.0
10,24.0,23.449155220373903,24.675000000000008,0.375,0.0,3.0
11,24.0,23.508610420757325,24.6,0.3,0.0,3.0
12,23.0,23.528506167740822,24.550000000000008,0.225,0.0,3.0
13,24.0,22.470144257853583,24.5,0.15,0.0,3.0
14,25.0,20.982069962102635,24.45,0.075,0.0,3.0
15,25.0,23.04589918480487,24.4,0.0,0.0,3.0
16,24.0,23.865853837893408,24.4,0.0,0.0,3.0
17,24.0,23.660746857070194,24.4,0.0,0.0,3.0
18,23.0,23.579006644491848,24.4,0.0,0.0,3.0
19,24.0,23.546431144986485,24.4,0.0,0.0,3.0
20,23.0,23.533449001503474,24.275,0.0,0.0,3.0
21,25.0,22.45818581470616,24.15,0.0,0.0,3.0
22,26.0,22.023335760778807,24.025,0.0,0.0,3.0
23,25.0,22.907464646495068,23.9,0.0,101.0,3.0
24,26.0,21.657843206001004,24.175,0.0,151.5,3.0
25,23.0,23.833162498523343,24.45,0.0,202.0,3.0
26,25.0,22.58649252148375,24.725,0.0,281.75,3.0
27,22.0,24.76298804530361,25.0,0.0,361.5,3.0
28,25.0,22.984907604335824,25.825,0.0,441.25,2.6493
29,23.0,22.84996257940734,26.65,0.0,521.0,2.6493
30,25.0,22.83796849876349,27.475,0.0,565.0,2.6493
31,24.0,23.93873185751761,28.3,0.0,609.0,2.6493
32,24.0,23.887318956358904,28.725,0.0,653.0,1.22583
33,24.0,23.356475951575717,29.15,0.0,697.0,1.22583
34,24.0,23.69832661697291,29.575,0.0,714.25,1.22583
35,24.0,23.856088106260106,30.0,0.0,731.5,1.22583
36,22.0,23.940485498780777,30.425,0.0,748.75,0.72567
37,24.0,22.931887038958948,30.85,0.0,766.0,0.72567
38,24.0,23.615219542244056,31.275,0.0,778.5,0.72567
39,24.0,23.377190781564853,31.7,0.0,791.0,0.72567
40,24.0,23.30385595532416,31.975,0.775,803.5,0.72567
41,23.0,23.820437716562708,32.25,1.55,816.0,0.72567
42,24.0,23.508357408305915,32.525,2.325,795.5,0.72567
43,24.0,22.33415551726863,32.8,3.1,775.0,0.72567
44,23.0,23.475772925999237,32.925,2.85,754.5,0.72567
45,24.0,23.405187559795614,33.05,2.6,734.0,0.72567
46,24.0,23.383388581452266,33.175,2.35,735.0,0.72567
47,23.0,23.912911408399243,33.3,2.1,736.0,0.72567
48,24.0,22.534632746640842,33.575,2.475,737.0,0.72567
49,23.0,23.063041285801432,33.85,2.85,738.0,0.72567
50,23.0,23.287553462745336,34.125,3.225,730.25,0.72567
51,22.0,24.45471385398001,34.4,3.6,722.5,0.72567
52,24.0,22.806267581598064,34.55,3.35,714.75,0.72567
53,21.0,26.41195192443962,34.7,3.1,707.0,0.72567
54,23.0,23.06959070688341,34.85,2.85,703.25,0.72567
55,24.0,23.34081187779594,35.0,2.6,699.5,0.72567
56,23.0,23.988376700358156,35.0,2.725,695.75,0.72567
57,24.0,23.182688880552107,35.0,2.85,692.0,0.72567
58,25.0,21.797843884132877,35.0,2.975,615.5,0.72567
59,23.0,23.905344955145125,35.0,3.1,539.0,0.72567
60,22.0,23.681477894535938,35.15,3.1,462.5,0.72567
61,21.0,27.323013120389906,35.3,3.1,386.0,0.72567
62,23.0,23.994939367779036,35.45,3.1,419.0,0.72567
63,22.0,23.739975226151376,35.6,3.1,452.0,0.72567
64,24.0,22.050325282543692,35.30000000000001,3.75,485.0,0.8849400000000001
65,23.0,22.42552187549102,35.0,4.4,518.0,0.8849400000000001
66,23.0,22.559852519249308,34.7,5.050000000000002,549.5,0.8849400000000001
67,22.0,24.193829779457698,34.4,5.7,581.0,0.8849400000000001
68,24.0,23.234178036758856,34.0,5.300000000000002,612.5,1.6593
69,23.0,24.427111385993594,33.6,4.9,644.0,1.6593
70,24.0,23.286627888788868,33.2,4.5,583.75,1.6593
71,23.0,23.875616083219388,32.8,4.1,523.5,1.6593
72,23.0,24.090083145165078,32.6,3.975,463.25,2.6907900000000002
73,23.0,23.633544698990587,32.4,3.85,403.0,2.6907900000000002
74,24.0,23.44147315753956,32.2,3.725,302.25,2.6907900000000002
75,23.0,22.29103978627668,32.0,3.6,201.5,2.6907900000000002
76,24.0,22.886192371128608,31.75,3.475,100.75,2.6907900000000002
77,24.0,22.04695489915925,31.5,3.35,0.0,2.6907900000000002
78,25.0,22.23171512187401,31.25,3.225,0.0,2.6907900000000002
79,24.0,22.824563791443538,31.0,3.1,0.0,2.6907900000000002
80,22.0,23.048166594637227,30.6,2.325,0.0,2.6907900000000002
81,25.0,22.58513930594954,30.2,1.55,0.0,2.6907900000000002
82,23.0,23.444110580792287,29.8,0.775,0.0,2.6907900000000002
83,25.0,22.170534924342935,29.4,0.0,0.0,2.6907900000000002
84,24.0,21.64272415400515,28.85,0.375,0.0,3.0
85,23.0,23.000159581613673,28.3,0.75,0.0,3.0
86,23.0,24.57703309744098,27.75,1.125,0.0,3.0
87,24.0,23.0500827997201,27.2,1.5,0.0,3.0
88,25.0,21.881819490959753,26.925,1.125,0.0,3.0
89,25.0,21.934188559676965,26.65,0.75,0.0,3.0
90,24.0,23.536768309668037,26.375000000000004,0.375,0.0,3.0
91,23.0,23.629628531583897,26.1,0.0,0.0,3.0
92,25.0,22.588948902950165,26.1,0.525,0.0,3.0
93,24.0,23.76984995589735,26.1,1.05,0.0,3.0
94,24.0,23.708589056447956,26.1,1.5750000000000002,0.0,3.0
95,23.0,23.684175070519068,26.1,2.1,0.0,3.0
