,LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Previous Temperature,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep)
0,26.0,23.0,25.325,1.125,0.0,3.0
1,26.0,24.42629078238805,25.25,1.05,0.0,3.0
2,26.0,24.990904366786378,25.175000000000008,0.975,0.0,3.0
3,26.0,25.212118243115764,25.1,0.9,0.0,3.0
4,26.0,25.296478829399934,25.050000000000008,0.8250000000000001,0.0,3.0
5,26.0,25.32756619731088,25.0,0.75,0.0,3.0
6,26.0,25.337422868065236,24.95,0.6749999999999999,0.0,3.0
7,26.0,25.33881858009551,24.9,0.6,0.0,3.0
8,26.0,24.27308394801366,24.825,0.5249999999999999,0.0,3.0
9,26.0,24.908322117072156,24.75,0.45,0.0,3.0
10,26.0,25.157681639835463,24.675000000000008,0.375,0.0,3.0
11,26.0,24.721379742184688,24.6,0.3,0.0,3.0
12,26.0,24.543704005165566,24.550000000000008,0.225,0.0,3.0
13,26.0,25.002242628555642,24.5,0.15,0.0,3.0
14,26.0,25.18244921304531,24.45,0.075,0.0,3.0
15,26.0,25.251733585449504,24.4,0.0,0.0,3.0
16,26.0,25.27681270867526,24.4,0.0,0.0,3.0
17,26.0,25.286807360517553,24.4,0.0,0.0,3.0
18,26.0,25.290790476854973,24.4,0.0,0.0,3.0
19,26.0,24.22861940490797,24.4,0.0,0.0,3.0
20,26.0,24.869076364091907,24.275,0.0,0.0,3.0
21,26.0,23.522345624859273,24.15,0.0,0.0,3.0
22,26.0,24.574946690453793,24.025,0.0,0.0,3.0
23,26.0,24.98810325058843,23.9,0.0,101.0,3.0
24,26.0,25.146425335569848,24.175,0.0,151.5,3.0
25,26.0,24.691569671847475,24.45,0.0,202.0,3.0
26,26.0,23.460468264958195,24.725,0.0,281.75,3.0
27,26.0,24.57940980715963,25.0,0.0,361.5,3.0
28,26.0,25.03926401395231,25.825,0.0,441.25,2.6493
