,LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Previous Temperature,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep)
0,21.0,23.0,25.325,1.125,0.0,3.0
1,22.0,21.766894676204213,25.25,1.05,0.0,3.0
2,21.0,22.335431478662834,25.175000000000008,0.975,0.0,3.0
3,22.0,21.49445041209804,25.1,0.9,0.0,3.0
4,22.0,21.15550000192885,25.050000000000008,0.8250000000000001,0.0,3.0
5,21.0,22.61352511559522,25.0,0.75,0.0,3.0
6,22.0,21.596414161103965,24.95,0.6749999999999999,0.0,3.0
7,22.0,21.720417056619112,24.9,0.6,0.0,3.0
8,22.0,21.767302866741197,24.825,0.5249999999999999,0.0,3.0
9,22.0,21.250310179111484,24.75,0.45,0.0,3.0
10,22.0,21.572356384724955,24.675000000000008,0.375,0.0,3.0
11,22.0,21.69690115195397,24.6,0.3,0.0,3.0
12,22.0,21.210857482427173,24.550000000000008,0.225,0.0,3.0
13,22.0,21.54650384610792,24.5,0.15,0.0,3.0
14,22.0,21.67773482093011,24.45,0.075,0.0,3.0
15,22.0,21.727501199703337,24.4,0.0,0.0,3.0
16,22.0,21.74480191898548,24.4,0.0,0.0,3.0
17,22.0,21.75169668417682,24.4,0.0,0.0,3.0
18,22.0,21.754444418896313,24.4,0.0,0.0,3.0
19,22.0,21.75553945924637,24.4,0.0,0.0,3.0
20,22.0,21.755975859951196,24.275,0.0,0.0,3.0
21,22.0,21.749818737878027,24.15,0.0,0.0,3.0
22,22.0,21.741033933649184,24.025,0.0,0.0,3.0
23,22.0,21.731201932990796,23.9,0.0,101.0,3.0
24,22.0,21.720952598615053,24.175,0.0,151.5,3.0
25,22.0,21.730796269820438,24.45,0.0,202.0,3.0
26,22.0,21.216768280238465,24.725,0.0,281.75,3.0
27,22.0,21.55772289944235,25.0,0.0,361.5,3.0
28,22.0,21.7075300458485,25.825,0.0,441.25,2.6493
29,22.0,21.80901675909875,26.65,0.0,521.0,2.6493
30,21.0,21.89124658278732,27.475,0.0,565.0,2.6493
31,22.0,21.433922837734954,28.3,0.0,609.0,2.6493
32,22.0,21.82533207269123,28.725,0.0,653.0,1.22583
33,21.0,22.002843879566736,29.15,0.0,697.0,1.22583
34,22.0,21.56323304164617,29.575,0.0,714.25,1.22583
35,21.0,22.473321206693686,30.0,0.0,731.5,1.22583
36,21.0,21.793780972971415,30.425,0.0,748.75,0.72567
37,21.0,21.544492888009483,30.85,0.0,766.0,0.72567
38,22.0,21.466670942136563,31.275,0.0,778.5,0.72567
39,20.0,23.052820163801417,31.7,0.0,791.0,0.72567
40,22.0,21.578948565426398,31.975,0.775,803.5,0.72567
41,21.0,22.069260951405514,32.25,1.55,816.0,0.72567
42,21.0,22.278590867623954,32.525,2.325,795.5,0.72567
43,20.0,22.907821530641854,32.8,3.1,775.0,0.72567
44,21.0,21.57687615770493,32.925,2.85,754.5,0.72567
45,21.0,22.116550938680316,33.05,2.6,734.0,0.72567
46,21.0,21.80607652455058,33.175,2.35,735.0,0.72567
47,20.0,23.284313482009505,33.3,2.1,736.0,0.72567
48,21.0,21.75224168069172,33.575,2.475,737.0,0.72567
49,21.0,21.687480622879814,33.85,2.85,738.0,0.72567
50,21.0,21.67560002198192,34.125,3.225,730.25,0.72567
51,22.0,21.152914371833234,34.4,3.6,722.5,0.72567
52,21.0,21.49041869884173,34.55,3.35,714.75,0.72567
53,21.0,21.632519779776416,34.7,3.1,707.0,0.72567
54,21.0,21.696747826802333,34.85,2.85,703.25,0.72567
55,21.0,21.72994154081688,35.0,2.6,699.5,0.72567
56,21.0,21.750767304372626,35.0,2.725,695.75,0.72567
57,21.0,21.75906688702613,35.0,2.85,692.0,0.72567
58,21.0,21.76237447630313,35.0,2.975,615.5,0.72567
59,21.0,21.763692632562556,35.0,3.1,539.0,0.72567
60,21.0,21.764217950484085,35.15,3.1,462.5,0.72567
