,LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Previous Temperature,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep)
0,22.0,23.0,25.325,1.125,0.0,3.0
1,23.0,21.766894676204213,25.25,1.05,0.0,3.0
2,23.0,22.335431478662834,25.175000000000008,0.975,0.0,3.0
3,23.0,22.558208854571575,25.1,0.9,0.0,3.0
4,23.0,22.643192534167685,25.050000000000008,0.8250000000000001,0.0,3.0
5,23.0,21.61076977772459,25.0,0.75,0.0,3.0
6,23.0,22.79242898334568,24.95,0.6749999999999999,0.0,3.0
7,23.0,22.728937811091427,24.9,0.6,0.0,3.0
8,23.0,22.169223369541122,24.825,0.5249999999999999,0.0,3.0
9,23.0,22.474243897953492,24.75,0.45,0.0,3.0
10,23.0,22.060124289836786,24.675000000000008,0.375,0.0,3.0
11,23.0,22.4231679659129,24.6,0.3,0.0,3.0
12,23.0,22.564051240672672,24.550000000000008,0.225,0.0,3.0
13,23.0,22.617664300068874,24.5,0.15,0.0,3.0
14,23.0,22.636498016865684,24.45,0.075,0.0,3.0
15,23.0,22.109592082878184,24.4,0.0,0.0,3.0
16,23.0,21.897074600732378,24.4,0.0,0.0,3.0
17,23.0,22.344260341047665,24.4,0.0,0.0,3.0
18,23.0,22.52247493583458,24.4,0.0,0.0,3.0
19,23.0,22.593497866424165,24.4,0.0,0.0,3.0
20,23.0,22.621802263578417,24.275,0.0,0.0,3.0
21,23.0,22.09487200717379,24.15,0.0,0.0,3.0
22,23.0,22.410425430040544,24.025,0.0,0.0,3.0
23,23.0,22.529850247086124,23.9,0.0,101.0,3.0
24,24.0,21.50735451392213,24.175,0.0,151.5,3.0
25,22.0,23.241309805726548,24.45,0.0,202.0,3.0
26,22.0,21.81874534134033,24.725,0.0,281.75,3.0
27,22.0,22.32950489114682,25.0,0.0,361.5,3.0
28,22.0,22.01510428741192,25.825,0.0,441.25,2.6493
29,23.0,21.931592713306213,26.65,0.0,521.0,2.6493
30,23.0,22.471975358113852,27.475,0.0,565.0,2.6493
31,22.0,22.729116082451853,28.3,0.0,609.0,2.6493
32,22.0,22.341498664039225,28.725,0.0,653.0,1.22583
33,21.0,22.740428273456754,29.15,0.0,697.0,1.22583
34,23.0,21.85717869336929,29.575,0.0,714.25,1.22583
35,23.0,20.99482816654467,30.0,0.0,731.5,1.22583
36,23.0,21.73644409384761,30.425,0.0,748.75,0.72567
37,21.0,22.58540116385608,30.85,0.0,766.0,0.72567
38,23.0,21.881498674477843,31.275,0.0,778.5,0.72567
39,22.0,22.6862600696313,31.7,0.0,791.0,0.72567
40,22.0,22.496623730285755,31.975,0.775,803.5,0.72567
41,23.0,21.903098015165043,32.25,1.55,816.0,0.72567
42,22.0,22.74425004273443,32.525,2.325,795.5,0.72567
43,21.0,23.625277468038245,32.8,3.1,775.0,0.72567
44,22.0,22.92655856338538,32.925,2.85,754.5,0.72567
45,22.0,22.654432810427352,33.05,2.6,734.0,0.72567
46,21.0,24.147952659300746,33.175,2.35,735.0,0.72567
47,22.0,22.090092247548498,33.3,2.1,736.0,0.72567
48,23.0,21.276314936615883,33.575,2.475,737.0,0.72567
49,22.0,22.029691247385543,33.85,2.85,738.0,0.72567
50,22.0,22.343858654009086,34.125,3.225,730.25,0.72567
51,22.0,22.48299043265393,34.4,3.6,722.5,0.72567
52,22.0,22.552366177728697,34.55,3.35,714.75,0.72567
53,22.0,22.05573215569295,34.7,3.1,707.0,0.72567
54,21.0,22.92916688450389,34.85,2.85,703.25,0.72567
55,22.0,22.2210910636552,35.0,2.6,699.5,0.72567
56,22.0,22.47838177676187,35.0,2.725,695.75,0.72567
57,22.0,22.580918499302292,35.0,2.85,692.0,0.72567
58,22.0,22.621781923179437,35.0,2.975,615.5,0.72567
59,20.0,24.765583894772465,35.0,3.1,539.0,0.72567
60,22.0,22.42866675730996,35.15,3.1,462.5,0.72567
61,22.0,22.568703078833238,35.3,3.1,386.0,0.72567
62,22.0,22.100229046850632,35.45,3.1,419.0,0.72567
63,22.0,22.453007008014186,35.6,3.1,452.0,0.72567
64,22.0,22.601195010503993,35.30000000000001,3.75,485.0,0.8849400000000001
65,21.0,23.70881555019179,35.0,4.4,518.0,0.8849400000000001
66,22.0,22.539397615943972,34.7,5.050000000000002,549.5,0.8849400000000001
67,22.0,22.590040330090286,34.4,5.7,581.0,0.8849400000000001
68,22.0,22.063148992361295,34.0,5.300000000000002,612.5,1.6593
69,22.0,21.832910419206435,33.6,4.9,644.0,1.6593
70,22.0,22.252774542378855,33.2,4.5,583.75,1.6593
71,23.0,21.336083030069695,32.8,4.1,523.5,1.6593
72,23.0,20.950499431575487,32.6,3.975,463.25,2.6907900000000002
73,21.0,22.382342818263172,32.4,3.85,403.0,2.6907900000000002
74,22.0,22.942838214454724,32.2,3.725,302.25,2.6907900000000002
75,22.0,22.09232140973407,32.0,3.6,201.5,2.6907900000000002
76,22.0,22.275118954371905,31.75,3.475,100.75,2.6907900000000002
77,23.0,21.803427005636593,31.5,3.35,0.0,2.6907900000000002
78,22.0,22.134663223857647,31.25,3.225,0.0,2.6907900000000002
79,23.0,21.722127763530686,31.0,3.1,0.0,2.6907900000000002
80,22.0,22.608818528989016,30.6,2.325,0.0,2.6907900000000002
81,23.0,21.878168997428308,30.2,1.55,0.0,2.6907900000000002
82,22.0,22.63048617919565,29.8,0.775,0.0,2.6907900000000002
83,21.0,23.44192310966634,29.4,0.0,0.0,2.6907900000000002
84,22.0,22.68128306074471,28.85,0.375,0.0,3.0
85,23.0,22.35029258969587,28.3,0.75,0.0,3.0
86,22.0,22.722407339547786,27.75,1.125,0.0,3.0
87,22.0,22.310968494126907,27.2,1.5,0.0,3.0
88,23.0,21.587264131525362,26.925,1.125,0.0,3.0
89,23.0,21.816800952489615,26.65,0.75,0.0,3.0
90,22.0,22.426227997913184,26.375000000000004,0.375,0.0,3.0
91,23.0,22.123292265599293,26.1,0.0,0.0,3.0
92,23.0,22.520515808624253,26.1,0.525,0.0,3.0
93,21.0,24.274456893883965,26.1,1.05,0.0,3.0
94,23.0,21.782170535944587,26.1,1.5750000000000002,0.0,3.0
95,23.0,21.852691128168317,26.1,2.1,0.0,3.0
