,LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Previous Temperature,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep)
0,27.0,23.0,25.325,1.125,0.0,3.0
1,25.0,25.49004922486159,25.25,1.05,0.0,3.0
2,25.0,24.882959235314907,25.175000000000008,0.975,0.0,3.0
3,25.0,24.10534099183396,25.1,0.9,0.0,3.0
4,27.0,22.727883793755357,25.050000000000008,0.8250000000000001,0.0,3.0
5,26.0,24.303917448747615,25.0,0.75,0.0,3.0
6,25.0,24.929473484883395,24.95,0.6749999999999999,0.0,3.0
7,25.0,24.644361424316227,24.9,0.6,0.0,3.0
8,25.0,24.528204790222464,24.825,0.5249999999999999,0.0,3.0
9,25.0,24.47811487107298,24.75,0.45,0.0,3.0
10,25.0,24.4543541743723,24.675000000000008,0.375,0.0,3.0
11,26.0,24.441086325020596,24.6,0.3,0.0,3.0
12,25.0,24.963879356493333,24.550000000000008,0.225,0.0,3.0
13,25.0,24.637813693017904,24.5,0.15,0.0,3.0
14,25.0,24.505336033700452,24.45,0.075,0.0,3.0
15,26.0,24.450007989422822,24.4,0.0,0.0,3.0
16,25.0,24.957305199054186,24.4,0.0,0.0,3.0
17,26.0,24.627596482152473,24.4,0.0,0.0,3.0
18,26.0,24.496199391227965,24.4,0.0,0.0,3.0
19,25.0,24.97571361688419,24.4,0.0,0.0,3.0
20,26.0,24.10305347141725,24.275,0.0,0.0,3.0
21,26.0,24.28082496939184,24.15,0.0,0.0,3.0
22,25.0,24.877219497598347,24.025,0.0,0.0,3.0
23,25.0,24.576687230620983,23.9,0.0,101.0,3.0
24,26.0,24.450586639159184,24.175,0.0,151.5,3.0
25,26.0,24.414260714655658,24.45,0.0,202.0,3.0
26,24.0,26.541229103697034,24.725,0.0,281.75,3.0
27,26.0,24.211531651442908,25.0,0.0,361.5,3.0
28,25.0,24.892655456162004,25.825,0.0,441.25,2.6493
29,25.0,24.674005797797705,26.65,0.0,521.0,2.6493
30,25.0,24.62865334727598,27.475,0.0,565.0,2.6493
31,25.0,24.120484905600797,28.3,0.0,609.0,2.6493
32,25.0,24.49163126947511,28.725,0.0,653.0,1.22583
33,25.0,24.66106782029137,29.15,0.0,697.0,1.22583
34,25.0,24.75011801403519,29.575,0.0,714.25,1.22583
35,24.0,25.339011474465977,30.0,0.0,731.5,1.22583
36,25.0,24.531467194616,30.425,0.0,748.75,0.72567
37,26.0,23.167407884000877,30.85,0.0,766.0,0.72567
38,24.0,24.77283887557119,31.275,0.0,778.5,0.72567
39,26.0,23.306651540133657,31.7,0.0,791.0,0.72567
40,25.0,24.87138198399133,31.975,0.775,803.5,0.72567
41,24.0,24.97701488952733,32.25,1.55,816.0,0.72567
42,25.0,24.501161282628363,32.525,2.325,795.5,0.72567
43,25.0,23.793570896478364,32.8,3.1,775.0,0.72567
