Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),LIVING_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),MAIN ELECTRIC HEATING COIL_UNIT1:Heating Coil Heating Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Energy [J](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Electricity Energy [J](TimeStep),Averaged Building Temperature:PythonPlugin:OutputVariable [C](TimeStep) 
 02/21  08:00:00,16.2,2.6493,19.135278378621444,11.922932536590004,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  08:15:00,16.2,1.22583,19.051618148029197,11.922778119786808,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  08:30:00,16.2,1.22583,18.952361095947066,11.922728233391622,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  08:45:00,16.2,1.22583,18.892408256862205,11.92277118635013,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  09:00:00,16.2,1.22583,18.868287064901307,11.922880775030763,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  09:15:00,16.2,0.72567,18.82061211626137,11.92302212194706,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  09:30:00,16.2,0.72567,18.766984399152464,11.92315952293022,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  09:45:00,16.2,0.72567,18.724946886566288,11.923260645605972,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  10:00:00,16.2,0.72567,18.696535173621919,11.923298307561053,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  10:15:00,16.2,0.72567,18.67678860594527,11.92325187481798,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  10:30:00,16.2,0.72567,18.65930915242482,11.92310815312775,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  10:45:00,16.2,0.72567,18.641692609441493,11.922861329899304,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  11:00:00,16.2,0.72567,18.624207732847404,11.922512150161927,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  11:15:00,16.2,0.72567,18.608059858347759,11.9220666122742,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  11:30:00,16.2,0.72567,18.594289766801773,11.921534396186848,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  11:45:00,16.2,0.72567,18.58150881323704,11.920927302197404,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
