Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),LIVING_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),MAIN ELECTRIC HEATING COIL_UNIT1:Heating Coil Heating Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Energy [J](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Electricity Energy [J](TimeStep),Averaged Building Temperature:PythonPlugin:OutputVariable [C](TimeStep) 
 08/02  20:00:00,31.1,2.69079,23.999996370755203,34.23092088027906,0.0,3735096.978336258,24.0,0.0,0.0,0.0,15.0,24.0,0.0,5368680.282330133,1544756.1372962394,0.0 
 08/02  20:15:00,30.675000000000006,2.69079,24.0000009239781,33.00128273772904,0.0,3564976.816360097,24.000000000000005,0.0,0.0,0.0,15.0,24.0,,5146168.196579917,1476034.8496920723,0.0 
 08/02  20:30:00,30.25,2.69079,23.999988844337659,31.63477296891361,0.0,3396974.0182816458,24.000000000000005,0.0,0.0,0.0,15.0,24.0,,4941318.393360682,1411638.9147710626,0.0 
 08/02  20:45:00,29.824999999999997,2.69079,24.00000125605466,30.726158375257176,0.0,3230877.1499452309,24.0,0.0,0.0,0.0,15.0,24.0,,4731232.476382239,1346638.4879710852,0.0 
 08/02  21:00:00,29.4,2.69079,23.999975468425409,29.669461606340414,0.0,3068582.058995863,24.0,0.0,0.0,0.0,15.0,24.0,0.0,4545671.228653516,1287470.0712411209,0.0 
 08/02  21:15:00,28.724999999999999,3.0,24.00000166332042,28.985350483118937,0.0,2843293.1881101576,24.0,0.0,0.0,0.0,15.0,24.0,,4249302.754986867,1195805.8425574187,0.0 
 08/02  21:30:00,28.049999999999998,3.0,23.999973343833739,28.059996556097209,0.0,2633234.881017429,24.0,0.0,0.0,0.0,15.0,24.0,,3982591.647743984,1112308.2405253163,0.0 
 08/02  21:45:00,27.375,3.0,23.999963116254805,27.297346538124434,0.0,2439715.8826329086,24.0,0.0,0.0,0.0,15.0,24.0,,3736060.5694447827,1035036.9937416843,0.0 
 08/02  22:00:00,26.7,3.0,23.999974565753069,26.542052860823746,0.0,2261696.3453373217,24.0,0.0,0.0,0.0,15.0,24.0,0.0,3501625.7994261609,962210.1760633058,0.0 
 08/02  22:15:00,26.7,2.69079,23.999973259633266,25.86511500362281,0.0,2069915.809201439,24.0,0.0,0.0,0.0,15.0,24.0,,3231138.656454631,892971.6345159642,0.0 
 08/02  22:30:00,26.7,2.69079,24.000003136643114,25.51180133923515,0.0,1961673.376303094,24.0,0.0,0.0,0.0,15.0,24.0,,3078586.235748155,853510.4487791585,0.0 
 08/02  22:45:00,26.7,2.69079,23.99992111664465,25.045018918749876,0.0,1874887.1015843314,24.0,0.0,0.0,0.0,15.0,24.0,,2975706.0335783439,825754.2929275134,0.0 
 08/02  23:00:00,26.7,2.69079,24.000005663807309,24.84737969642578,0.0,1800810.2050917478,24.0,0.0,0.0,0.0,15.0,24.0,0.0,2903484.1040170907,805275.4482897145,0.0 
 08/02  23:15:00,26.549999999999998,3.0,24.00000650369833,24.781688237908065,0.0,1666466.9488827608,24.0,0.0,0.0,0.0,15.0,24.0,,2732960.528087961,757248.6738199825,0.0 
 08/02  23:30:00,26.4,3.0,24.000006668581489,24.681282993807814,0.0,1556386.6978721659,24.0,0.0,0.0,0.0,15.0,24.0,,2609312.313432287,720777.1478837009,0.0 
 08/02  23:45:00,26.250000000000005,3.0,24.00000674135211,24.507333039683574,0.0,1458613.6568769138,24.0,0.0,0.0,0.0,15.0,24.0,,2498393.4137139485,687818.95246074,0.0 
 08/02  24:00:00,26.1,3.0,24.000006813061398,24.287848767196249,0.0,1369015.706460817,24.0,0.0,0.0,0.0,15.0,24.0,0.0,2394279.026602627,656850.1037808383,0.0 
